"AAPG Bulletin","AAPG Bull."
"IEEE Transactions on Pattern Analysis and Machine Intelligence","IEEE Trans. Pattern Anal. Mach. Intell."
"IEEE Transactions on Plasma Science","IEEE Trans. Plasma Sci."
"IEEE Transactions on Power Delivery","IEEE Trans. Power Delivery"
"IEEE Transactions on Power Electronics","IEEE Trans. Power Electron."
"IEEE Transactions on Power Systems","IEEE Trans. Power Syst."
"IEEE Transactions on Professional Communication","IEEE Trans. Prof. Commun."
"IEEE Transactions on Reliability","IEEE Trans. Reliab."
"IEEE Transactions on Robotics","IEEE Trans. Rob."
"IEEE Transactions on Semiconductor Manufacturing","IEEE Trans. Semicond. Manuf."
"IEEE Transactions on Services Computing","IEEE Trans. Serv. Comput."
"IEEE Transactions on Signal Processing","IEEE Trans. Signal Process."
"IEEE Transactions on Smart Grid","IEEE Trans. Smart Grid"
"IEEE Transactions on Software Engineering","IEEE Trans. Software Eng."
"IEEE Transactions on Sustainable Energy","IEEE Trans. Sustainable Energy"
"IEEE Transactions on Systems, Man, and Cybernetics Part A: Systems and Humans","IEEE Trans. Syst. Man Cybern. Part A Syst. Humans"
"IEEE Transactions on Systems, Man, and Cybernetics Part B: Cybernetics","IEEE Trans. Syst. Man Cybern. Part B Cybern."
"IEEE Transactions on Systems, Man, and Cybernetics Part C: Applications and Reviews","IEEE Trans. Syst. Man Cybern. Part C Appl. Rev."
"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control","IEEE Trans. Ultrason. Ferroelectr. Freq. Control"
"IEEE Transactions on Vehicular Technology","IEEE Trans. Veh. Technol."
"IEEE Transactions on Very Large Scale Integration (VLSI) Systems","IEEE Trans. Very Large Scale Integr. VLSI Syst."
"IEEE Transactions on Visualization and Computer Graphics","IEEE Trans. Visual Comput. Graphics"
"IEEE Transactions on Wireless Communications","IEEE Trans. Wireless Commun."
"IEEE Vehicular Technology Magazine","IEEE Veh. Technol. Mag."
"IEEE Wireless Communications","IEEE Wirel. Commun."
"IEEE/ACM Transactions on Computational Biology and Bioinformatics","IEEE/ACM Trans. Comput. Biol. Bioinf."
"IEEE/ACM Transactions on Networking","IEEE/ACM Trans. Networking"
"IEEE/ASME Transactions on Mechatronics","IEEE/ASME Trans. Mechatron."
"IEEE/OSA Journal of Display Technology","IEEE/OSA J. Disp. Technol."
"IEEE/OSA Journal of Optical Communications and Networking","IEEE/OSA J. Opt. Commun. Networking"
"IEICE Transactions on Communications","IEICE Trans. Commun."
"IEICE Transactions on Electronics","IEICE Trans. Electron."
"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Science","IEICE Trans. Fundam. Electron. Commun. Comput. Sci."
"IEICE Transactions on Information and Systems","IEICE Trans. Inf. Syst."
"IET Circuits, Devices and Systems","IET Circuits Devices Syst."
"IET Communications","IET Commun."
"IET Communications Engineer","IET Commun. Eng."
"IET Computer Vision","IET Comput. Vision"
"IET Computers and Digital Techniques","IET Comput. Digital Tech."
"IET Control Theory and Applications","IET Control Theory Appl."
"IET Electric Power Applications","IET Electr. Power Appl."
"IET Electronics Systems and Software","IET Electron. Syst. Softw."
"IET Engineering Management","IET Eng. Manage."
"IET Generation, Transmission and Distribution","IET Gener. Transm. Distrib."
"IET Image Processing","IET Image Proc."
"IET Information Security","IET Inf. Secur."
"IET Intelligent Transport Systems","IET Intel. Transport Syst."
"IET Microwaves, Antennas and Propagation","IET Microwaves Antennas Propag."
"IET Nanobiotechnology","IET Nanobiotechnol."
"IET Optoelectronics","IET Optoelectron"
"IET Power Engineer","IET Power Eng."
"IET Proceedings: Science, Measurement & Technology","IET Proc.: Sci. Meas. Technol."
"IET Radar, Sonar and Navigation","IET Radar Sonar Navig."
"IET Renewable Power Generation","IET Renew. Power Gener."
"IET Science, Measurement and Technology","IET Sci. Meas. Technol."
"IET Signal Processing","IET Signal Proc."
"IET Software","IET Software"
"IET Synthetic Biology","IET Synth. Biol."
"IET Systems Biology","IET Syst. Biol."
"IIE Transactions","IIE Trans."
"IMA Journal of Applied Mathematics","IMA J. Appl. Math."
"IMA Journal of Management Mathematics","IMA J. Manage. Math."
"IMA Journal of Mathematical Control and Information","IMA J. Math. Control Inf."
"IPPTA Journal","Ippta J."
"IRE Transactions on Aeronautical and Navigational Electronics","IRE Trans. Aeronaut. Navig. Electron."
"IRE Transactions on Aerospace and Navigational Electronics","IRE Trans. Aerosp. Navig. Electron."
"IRE Transactions on Antennas and Propagation","IRE Trans. Anntenas Propag."
"IRE Transactions on Audio","IRE Trans. Audio"
"IRE Transactions on Automatic Control","IRE Trans. Autom. Control"
"IRE Transactions on Bio-Medical Electronics","IRE Trans. Bio-Med. Electron."
"IRE Transactions on Broadcast Transmission Systems","IRE Trans. Broadcast Transm. Syst."
"IRE Transactions on Broadcast and Television Receivers","IRE Trans. Broadcast Telev. Receivers"
"IRE Transactions on Broadcasting","IRE Trans. Broadcast."
"IRE Transactions on Circuit Theory","IRE Trans. Circuit Theory"
"IRE Transactions on Communication Systems","IRE Trans. Commun. Syst."
"IRE Transactions on Component Parts","IRE Trans. Compon. Parts"
"IRE Transactions on Electron Devices","IRE Trans. Electron Devices"
"IRE Transactions on Electronic Computers","IRE Trans. Electron. Comput."
"IRE Transactions on Engineering Management","IRE Trans. Eng. Manage."
"IRE Transactions on Human Factors in Electronics","IRE Trans. Hum. Factors Electron."
"IRE Transactions on Industrial Electronics","IRE Trans. Ind. Electron."
"IRE Transactions on Information Theory","IRE Trans. Inf. Theory"
"IRE Transactions on Instrumentation","IRE Trans. Instrum."
"IRE Transactions on Medical Electronics","IRE Trans. Med. Electron."
"IRE Transactions on Microwave Theory and Techniques","IRE Trans. Microwave Theory Tech."
"IRE Transactions on Military Electronics","IRE Trans. Mil. Electron."
"IRE Transactions on Nuclear Science","IRE Trans. Nucl. Sci."
"IRE Transactions on Product Engineering and Production","IRE Trans. Prod. Eng. Prod."
"IRE Transactions on Production Techniques","IRE Trans. Prod. Tech."
"IRE Transactions on Radio Frequency Interference","IRE Trans. Radio Freq. Interference"
"IRE Transactions on Reliability and Quality Control","IRE Trans. Reliab. Qual. Control"
"IRE Transactions on Space Electronics and Telemetry","IRE Trans. Space Electron. Telem."
"IRE Transactions on Telemetry and Remote Control","IRE Trans. Telem. Remote Control"
"IRE Transactions on Ultrasonic Engineering","IRE Trans. Ultrason. Eng."
"IRE Transactions on Vehicular Communications","IRE Trans. Veh. Commun."
"ISA Transactions","ISA Trans."
"ISIJ International","ISIJ Int."
"ISPRS Journal of Photogrammetry and Remote Sensing","ISPRS J. Photogramm. Remote Sens."
"ITE Letters on Batteries New Technologies & Medicine","ITE Lett. Batteries New Technol. Med."
"ITE-IBA Letters New Technologies & Medicine","ITE-IBA Lett. Batteries New Technol. Med."
"Image and Vision Computing","Image Vision Comput."
"Indian Chemical Engineer","Indian Chem. Eng."
"Indian Foundry Journal","Indian Foundry J."
"Indian Journal of Agricultural Chemistry","Indian J. Agric. Chem."
"Indian Journal of Agriculture, Environment and Bio-Technology","Indian J. Agric. Environ. Bio-Technol."
"Indian Journal of Agronomy","Indian J. Agron."
"Indian Journal of Biochemistry","Indian J. Biochem."
"Indian Journal of Biochemistry and Biophysics","Indian J. Biochem. Biophys."
"Indian Journal of Chemical Technology","Indian J. Chem. Technol."
"Indian Journal of Chemistry Section A: Inorganic, Bio-inorganic, Physical, Theoretical and Analytical Chemistry","Indian J. Chem., Sect A"
"Indian Journal of Chemistry Section B: Organic Chemistry including Medicinal Chemistry","Indian J. Chem., Sect B"
"Indian Journal of Clinical Biochemistry","Indian J. Clin. Biochem."
"Indian Journal of Engineering and Materials Science","Indian J. Eng. Mater. Sci."
"Indian Journal of Environment and Ecoplanning","Indian J. Environ. Ecoplann."
"Indian Journal of Environmental Protection","Indian J. Environ. Prot."
"Indian Journal of Fibre and Textile Research","Indian J. Fibre Text. Res."
"Indian Journal of Forensic Medicine and Toxicology","Indian J. Forensic Med. Toxicol."
"Indian Journal of Forensic Sciences","Indian J. Forensic Sci."
"Indian Journal of Geochemistry","Indian J. Geochem."
"Indian Journal of Heterocyclic Chemistry","Indian J. Heterocycl. Chem."
"Indian Journal of Industrial and Applied Mathematics","Indian J. Ind. Appl. Math."
"Indian Journal of Natural Products","Indian J. Nat. Prod."
"Indian Journal of Physics","Indian J. Phys."
"Indian Journal of Pure and Applied Physics","Indian J. Pure Appl. Phys."
"Indian Journal of Radio & Space Physics","Indian J. Radio Space Phys."
"Indian Journal of Technology","Indian J. Technol."
"Indoor and Built Environment","Indoor Built Environ."
"Industrial & Engineering Chemistry Chemical & Engineering Data Series","Ind. Eng. Chem. Chem. Eng. Data Series"
"Industrial & Engineering Chemistry Process Design and Development","Ind. Eng. Chem. Process Des. Dev."
"Industrial & Engineering Chemistry Product Research and Development","Ind. Eng. Chem. Prod. Res. Dev."
"Industrial Biotechnology","Ind. Biotechnol."
"Industrial Crops and Products","Ind. Crops Prod."
"Industrial Diamond Review","Ind. Diamond Rev."
"Industrial and Engineering Chemistry Fundamentals","Ind. Eng. Chem. Fundam."
"Industrial and Engineering Chemistry Research","Ind. Eng. Chem. Res."
"Industrial and Engineering Chemistry, Analytical Edition","Ind. Eng. Chem. Anal. Ed."
"Infrared Physics and Technology","Infrared Phys. Technol."
"Ingeniera Quimica (Madrid)","Ing. Quim."
"Ingenieria y Competitividad","Ing. Compet."
"Ingenieur Archiv","Ing. Arch."
"Inhalation Toxicology","Inhalation Toxicol."
"Innovative Food Science & Emerging Technologies","Innovative Food Sci. Emerg. Technol."
"Inorganic Chemistry","Inorg. Chem."
"Inorganic Chemistry Communications","Inorg. Chem. Commun."
"Inorganic Materials","Inorg. Mater."
"Inorganic Materials: Applied Research","Inorg. Mater. Appl. Res."
"Inorganic Reaction Mechanisms","Inorg. React. Mech."
"Inorganic Syntheses","Inorg. Synth."
"Inorganica Chimica Acta","Inorg. Chim. Acta"
"Insect Biochemistry and Molecular Biology","Insect Biochem. Mol. Biol."
"Insect Molecular Biology","Insect Mol. Biol."
"Insect Sci.","Insect Sci."
"Insectes Sociaux","Insectes Soc."
"Instrumentation Science and Technology","Instrum Sci. Technol."
"Instruments and Experiment Techniques","Instrum. Exp. Tech."
"Integrated Environmental Assessment and Manaement","Integr. Environ. Assess. Manage."
"Integrated Ferroelectrics","Integr. Ferroelectr."
"Integrative Biology","Integr. Biol."
"Integrative and Comparative Biology","Integr. Comp. Biol."
"Interacting with Computers","Interact. Comput."
"Interface Science","Interface Sci."
"International Agrophysics","Int. Agrophys."
"International Applied Mechanics","Int. Appl. Mech."
"International Biodeterioration & Biodegradation","Int. Biodeterior. Biodegrad."
"International Communications in Heat and Mass Transfer","Int. Commun. Heat Mass Transfer"
"International DATA Series, Selected Data on Mixtures, Series A","Int. DATA Ser., Sel. Data Mixtures, Ser. A"
"International Dairy Journal","Int. Dairy J."
"International Desalination & Water Reuse Quarterly","Int. Desalin. Water Reuse Q."
"International Geology Review","Int. Geol. Rev."
"International Immunopharmacology","Int. Immunopharmacol."
"International Journal Precision Engineering","Int. J. Precis. Eng."
"International Journal for Computational Methods in Engineering Science and Mechanics","Int. J. Comput. Methods Eng. Sci. Mech."
"International Journal for Engineering Modelling","Int. J. Eng. Model."
"International Journal for Housing Science and Its Applications","Int. J. Hous. Sci. Appl."
"International Journal for Multiscale Computational Engineering","Int. J. Multiscale Comput. Eng."
"International Journal for Numerical Methods in Engineering","Int. J. Numer. Methods Eng."
"International Journal for Numerical Methods in Fluids","Int. J. Numer. Methods Fluids"
"International Journal for Numerical and Analytical Methods in Geomechanics","Int. J. Numer. Anal. Methods Geomech."
"International Journal for Radiation Physics and Chemistry","Int. J. Radiat. Phys. Chem."
"International Journal for Simulation and Multidisciplinary Design Optimization","Int. J. Simul. Multi. Des. Optim."
"International Journal of Abrasive Technology","Int. J. Abras. Technol."
"International Journal of Acoustics and Vibrations","Int. J. Acoust. Vibr."
"International Journal of Ad Hoc and Ubiquitous Computing","Int. J. Ad Hoc Ubiquitous Comput."
"International Journal of Adaptive Control and Signal Processing","Int. J. Adapt Control Signal Process."
"International Journal of Adhesion and Adhesives","Int. J. Adhes. Adhes."
"International Journal of Advanced Manufacturing Technology","Int. J. Adv. Manuf. Technol."
"International Journal of Advanced Robotic Systems","Int. J. Adv. Rob. Syst."
"International Journal of Aerodynamics","Int. J. Aerodyn."
"International Journal of Agent-Oriented Software Engineering","Int. J. Agent-Oriented Softw. Eng."
"International Journal of Agile Manufacturing","Int. J. Agile Manuf."
"International Journal of Air and Water Pollution","Int. J. Air Water Pollut."
"International Journal of Alternative Propulsion","Int. J. Altern. Propul."
"International Journal of Ambient Energy","Int. J. Ambient Energy"
"International Journal of Antimicrobial Agents","Int. J. Antimicrob. Agents"
"International Journal of Applied Ceramic Technology","Int. J. Appl. Ceram. Technol."
"International Journal of Applied Chemistry","Int. J. Appl. Chem."
"International Journal of Applied Earth Observation and Geoinformation","Int. J. Appl. Earth Obs. Geoinf."
"International Journal of Applied Electromagnetics and Mechanics","Int. J. Appl. Electromagnet Mech"
"International Journal of Applied Glass Science","Int. J. Appl. Glass Sci."
"International Journal of Applied Mathematics","Int. J. Appl. Math."
"International Journal of Applied Mathematics and Computer Science","Int. J. Appl. Math. Comput. Sci."
"International Journal of Applied Radiation and Isotopes","Int. J. Appl. Radiat. Isot."
"International Journal of Applied Systemic Studies","Int. J. Appl. Syst. Stud."
"International Journal of Approximate Reasoning","Int. J. Approximate Reasoning"
"International Journal of Aromatherapy","Int. J. Aromather."
"International Journal of Artificial Organs","Int. J. Artif. Organs"
"International Journal of Astrobiology","Int. J. Astrobiol."
"International Journal of Automation and Computing","Int. J. Autom. Comput."
"International Journal of Automation and Control","Int. J. Autom. Control"
"International Journal of Automotive Technology","Int. J. Automot. Technol."
"International Journal of Automotive Technology and Management","Int. J. Automot. Technol. Manage."
"International Journal of Bifurcation and Chaos","Int. J. Bifurcation Chaos"
"International Journal of Bifurcation and Chaos in Applied Sciences and Engineering","Int. J. Bifurcation Chaos Appl. Sci. Eng."
"International Journal of Bio-Medical Computing","Int. J. Bio-Med. Comput."
"International Journal of BioChemiPhysics","Int. J. BioChemiPhysics"
"International Journal of Biochemistry","Int. J. Biochem."
"International Journal of Biochemistry & Cell Biology","Int. J. Biochem. Cell Biol."
"International Journal of Biochromatography","Int. J. Bio-Chromatogr."
"International Journal of Bioclimatology and Biometeorology","Int. J. Bioclimatol. Biometeorol."
"International Journal of Biodiversity Science & Management","Int. J. Biodivers. Sci. Manage."
"International Journal of Bioinformatics Research and Applications","Int. J. Bioinf. Res. Appl."
"International Journal of Biological Chemistry","Int. J. Biol. Chem."
"International Journal of Biological Macromolecules","Int. J. Biol. Macromol."
"International Journal of Biological Markers","Int. J. Biol. Markers"
"International Journal of Biology and Biotechnology","Int. J. Biol. Biotech."
"International Journal of Biomedical Engineering","Int. J. Biomed. Eng."
"International Journal of Biomedical Engineering and Technology","Int. J. Biomed. Eng. Technol."
"International Journal of Biomedical Imaging","Int. J. Biomed. Imaging"
"International Journal of Biomedical Sciences","Int. J. Biomed. Sci."
"International Journal of Biometeorology","Int. J. Biometeorol."
"International Journal of Biotechnology","Int. J. Biotechnol."
"International Journal of COMADEM","Int. J. COMADEM"
"International Journal of CUrrent Chemistry","Int. J. Curr. Chem."
"International Journal of Cast Metals Research","Int. J. Cast Met. Res."
"International Journal of Cement Composites and Lightweight Concrete","Int. J. Cem. Compos. Lightweight Concrete"
"International Journal of Chemical Kinetics","Int. J. Chem. Kinet."
"International Journal of Chemical Modeling","Int. J. Chem. Model."
"International Journal of Chemical Reactor Engineering","Int. J. Chem. Reactor Eng."
