"""Brevia""","Brevia (Rome)"
"Acta orthopaedica Scandinavica. Supplementum","Acta Orthop Scand Suppl"
"Acta orthopaedica et traumatologica turcica","Acta Orthop Traumatol Turc"
"Acta orthopaedica. Supplementum","Acta Orthop Suppl"
"Acta ortopedica mexicana","Acta Ortop Mex"
"Acta oto-laryngologica","Acta Otolaryngol"
"Acta oto-laryngologica. Supplementum","Acta Otolaryngol Suppl"
"Acta oto-rhino-laryngologica Belgica","Acta Otorhinolaryngol Belg"
"Acta oto-rino-laringologica ibero-americana","Acta Otorinolaryngol Iber Am"
"Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale","Acta Otorhinolaryngol Ital"
"Acta otorrinolaringologica espanola","Acta Otorrinolaringol Esp"
"Acta paediatrica","Acta Paediatr"
"Acta paediatrica (Oslo, Norway : 1992)","Acta Paediatr"
"Acta paediatrica (Oslo, Norway : 1992). Supplement","Acta Paediatr Suppl"
"Acta paediatrica Academiae Scientiarum Hungaricae","Acta Paediatr Acad Sci Hung"
"Acta paediatrica Belgica","Acta Paediatr Belg"
"Acta paediatrica Hungarica","Acta Paediatr Hung"
"Acta paediatrica Japonica; Overseas edition","Acta Paediatr Jpn"
"Acta paediatrica Latina","Acta Paediatr Lat"
"Acta paediatrica Scandinavica","Acta Paediatr Scand"
"Acta paediatrica Scandinavica. Supplement","Acta Paediatr Scand Suppl"
"Acta paediatrica. Supplementum","Acta Paediatr Suppl"
"Acta paedologica","Acta Paedolog"
"Acta paedopsychiatrica","Acta Paedopsychiatr"
"Acta palaeontologica Polonica","Acta Palaeontol Pol"
"Acta pathologica et microbiologica Scandinavica","Acta Pathol Microbiol Scand"
"Acta pathologica et microbiologica Scandinavica. Section A, Pathology","Acta Pathol Microbiol Scand [A]"
"Acta pathologica et microbiologica Scandinavica. Section B, Microbiology","Acta Pathol Microbiol Scand [B]"
"Acta pathologica et microbiologica Scandinavica. Section B: Microbiology and immunology","Acta Pathol Microbiol Scand [B] Microbiol Immunol"
"Acta pathologica et microbiologica Scandinavica. Section C, Immunology","Acta Pathol Microbiol Scand [C]"
"Acta pathologica et microbiologica Scandinavica. Supplement","Acta Pathol Microbiol Scand Suppl"
"Acta pathologica et microbiologica Scandinavica. Supplementum","Acta Pathol Microbiol Scand Suppl"
"Acta pathologica japonica","Acta Pathol Jpn"
"Acta pathologica, microbiologica, et immunologica Scandinavica. Section A, Pathology","Acta Pathol Microbiol Immunol Scand [A]"
"Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology","Acta Pathol Microbiol Immunol Scand [B]"
"Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology","Acta Pathol Microbiol Immunol Scand [C]"
"Acta pathologica, microbiologica, et immunologica Scandinavica. Supplement","Acta Pathol Microbiol Immunol Scand Suppl"
"Acta pediatrica espanola","Acta Pediatr Esp"
"Acta pharmaceutica (Zagreb, Croatia)","Acta Pharm"
"Acta pharmaceutica Hungarica","Acta Pharm Hung"
"Acta pharmaceutica Jugoslavica","Acta Pharm Jugosl"
"Acta pharmaceutica Nordica","Acta Pharm Nord"
"Acta pharmaceutica Suecica","Acta Pharm Suec"
"Acta pharmaceutica internationalia","Acta Pharm Int"
"Acta pharmacologica Sinica","Acta Pharmacol Sin"
"Acta pharmacologica et toxicologica","Acta Pharmacol Toxicol (Copenh)"
"Acta physiologiae plantarum / Polish Academy of Sciences, Committee of Plant Physiology Genetics and Breeding","Acta Physiol Plant"
"Acta physiologica (Oxford, England)","Acta Physiol (Oxf)"
"Acta physiologica Academiae Scientiarum Hungaricae","Acta Physiol Acad Sci Hung"
"Acta physiologica Hungarica","Acta Physiol Hung"
"Acta physiologica Polonica","Acta Physiol Pol"
"Acta physiologica Scandinavica","Acta Physiol Scand"
"Acta physiologica Scandinavica. Supplementum","Acta Physiol Scand Suppl"
"Acta physiologica et pharmacologica Bulgarica","Acta Physiol Pharmacol Bulg"
"Acta physiologica et pharmacologica Neerlandica","Acta Physiol Pharmacol Neerl"
"Acta physiologica et pharmacologica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia","Acta Physiol Pharmacol Latinoam"
"Acta physiologica latino americana","Acta Physiol Lat Am"
"Acta physiologica, pharmacologica et therapeutica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y [de] la Asociacion Latinoamericana de Farmacologia","Acta Physiol Pharmacol Ther Latinoam"
"Acta physiotherapica et rheumatologica Belgica","Acta Physiother Rheumatol Belg"
"Acta poloniae pharmaceutica","Acta Pol Pharm"
"Acta protozoologica","Acta Protozool"
"Acta psiquiatrica y psicologica de America latina","Acta Psiquiatr Psicol Am Lat"
"Acta psychiatrica Belgica","Acta Psychiatr Belg"
"Acta psychiatrica Scandinavica","Acta Psychiatr Scand"
"Acta psychiatrica Scandinavica. Supplementum","Acta Psychiatr Scand Suppl"
"Acta psychiatrica et neurologica","Acta Psychiatr Neurol"
"Acta psychiatrica et neurologica Scandinavica","Acta Psychiatr Neurol Scand"
"Acta psychiatrica et neurologica Scandinavica. Supplementum","Acta Psychiatr Neurol Scand Suppl"
"Acta psychiatrica et neurologica. Supplementum","Acta Psychiatr Neurol Suppl"
"Acta psychologica","Acta Psychol (Amst)"
"Acta psychotherapeutica et psychosomatica","Acta Psychother Psychosom"
"Acta psychotherapeutica, psychosomatica et orthopaedagogica","Acta Psychother Psychosom Orthopaedagog"
"Acta radiologica","Acta radiol"
"Acta radiologica (Stockholm, Sweden : 1987)","Acta Radiol"
"Acta radiologica et cancerologica. Bohemoslovencia","Acta Radiol Cancerol"
"Acta radiologica. Oncology","Acta Radiol Oncol"
"Acta radiologica. Supplementum","Acta Radiol Suppl"
"Acta radiologica: diagnosis","Acta Radiol Diagn (Stockh)"
"Acta radiologica: oncology, radiation, physics, biology","Acta Radiol Oncol Radiat Phys Biol"
"Acta radiologica: therapy, physics, biology","Acta Radiol Ther Phys Biol"
"Acta reproductiva Turcica","Acta Reprod Turc"
"Acta reumatologica portuguesa","Acta Reumatol Port"
"Acta rheumatologica Scandinavica","Acta Rheumatol Scand"
"Acta rheumatologica Scandinavica. Supplementum","Acta Rheumatol Scand Suppl"
"Acta rhumatologica","Acta Rhumatol"
"Acta rhumatologica Belgica","Acta Rhumatol Belg"
"Acta socio-medica Scandinavica","Acta Sociomed Scand"
"Acta socio-medica Scandinavica. Supplement","Acta Sociomed Scand Suppl"
"Acta sociologica","Acta Sociol"
"Acta stomatologica Belgica","Acta Stomatol Belg"
"Acta stomatologica Croatica","Acta Stomatol Croat"
"Acta stomatologica internationalia : revue scientifique et bulletin officiel de l'Association stomatologique internationale","Acta Stomatol Int"
"Acta therapeutica","Acta Ther"
"Acta theriologica","Acta Theriol (Warsz)"
"Acta tropica","Acta Trop"
"Acta tropica. Supplementum","Acta Trop Suppl"
"Acta tuberculosea Belgica","Acta Tuberc Belg"
"Acta tuberculosea Japonica","Acta Tuberc Jpn"
"Acta tuberculosea Scandinavica","Acta Tuberc Scand"
"Acta tuberculosea Scandinavica. Supplementum","Acta Tuberc Scand Suppl"
"Acta tuberculosea et pneumologica Belgica","Acta Tuberc Pneumol Belg"
"Acta tuberculosea et pneumologica Scandinavica","Acta Tuberc Pneumol Scand"
"Acta tuberculosea et pneumologica Scandinavica. Supplementum","Acta Tuberc Pneumol Scand Suppl"
"Acta urologica Belgica","Acta Urol Belg"
"Acta veterinaria","Acta Vet Brno"
"Acta veterinaria Academiae Scientiarum Hungaricae","Acta Vet Acad Sci Hung"
"Acta veterinaria Hungarica","Acta Vet Hung"
"Acta veterinaria Scandinavica","Acta Vet Scand"
"Acta veterinaria Scandinavica. Supplementum","Acta Vet Scand Suppl"
"Acta virologica","Acta Virol"
"Acta vitaminologica","Acta Vitaminol"
"Acta vitaminologica et enzymologica","Acta Vitaminol Enzymol"
"Acta zoologica (Stockholm, Sweden)","Acta Zool"
"Acta zoologica et pathologica Antverpiensia","Acta Zool Pathol Antverp"
"Actas de dermatologia & dermatopatologia","Actas Dermatol Dermatopatol"
"Actas de las reuniones cientificas del cuerpo facultativo del Instituto Policlinico","Actas Reun Cient Cuerfo Fac Inst Policlin"
"Actas dermo-sifiliograficas","Actas Dermosifiliogr"
"Actas espanolas de psiquiatria","Actas Esp Psiquiatr"
"Actas luso-espanolas de neurologia y psiquiatria","Actas Luso Esp Neurol Psiquiatr"
"Actas luso-espanolas de neurologia, psiquiatria y ciencias afines","Actas Luso Esp Neurol Psiquiatr Cienc Afines"
"Actas urologicas espanolas","Actas Urol Esp"
"Actes de la recherche en sciences sociales","Actes Rech Sci Soc"
"Action (National Fund for Research into Crippling Diseases)","Action Natl"
"Action For Children","Action Child"
"Action contre le SIDA","Action Contre SIDA"
"ActionAid disability news : the newsletter of Disability Division, ActionAid, India","Actionaid Disabil News"
"Activitas nervosa superior","Act Nerv Super (Praha)"
"Acts of the Legislature of the province of Manitoba : passed in the session held in the ... year of the reign of ... Manitoba","Acts Legis Prov Manit Manit"
"Actualidad juridica Aranzadi","Actual Jurid Aranzadi"
"Actualidad medica","Actual Medica"
"Actualidad pediatrica; revista de bibliografia internacional","Actual Pediatr (Granada)"
"Actualites anatomo-pathologiques","Actual Anatpathol"
"Actualites biologiques","Actual Biol"
"Actualites cardiologiques et angeiologiques internationales","Actual Cardiol Angeiol Int (Paris)"
"Actualites de physiologie pathologique","Actual Physiol Pathol (Paris)"
"Actualites endocrinologiques","Actual Endocrinol (Paris)"
"Actualites hepato-gastro-enterologiques","Actual Hepatogastroenterol (Paris)"
"Actualites neurophysiologiques","Actual Neurophysiol (Paris)"
"Actualites odonto-stomatologiques","Actual Odontostomatol (Paris)"
"Actualites pharmaceutiques","Actual Pharm"
"Actualites pharmacologiques","Actual Pharmacol (Paris)"
"Actualites psychiatriques","Actual Psychiatr"
"Actuelle Urologie","Actuel Urol"
"Acupuncture & electro-therapeutics research","Acupunct Electrother Res"
"Acupuncture in medicine : journal of the British Medical Acupuncture Society","Acupunct Med"
"Acute cardiac care","Acute Card Care"
"Acute care","Acute Care"
"Ad astra (Washington, D.C.)","Ad Astra"
"Adapted physical activity quarterly : APAQ","Adapt Phys Activ Q"
"Addiction (Abingdon, England)","Addiction"
"Addiction biology","Addict Biol"
"Addictive behaviors","Addict Behav"
"Addictive diseases","Addict Dis"
"Adicciones","Adicciones"
"Adler","Adler"
"Adler Museum bulletin","Adler Mus Bull"
"Administration & society","Adm Soc"
"Administration and policy in mental health","Adm Policy Ment Health"
"Administration for development","Adm Dev"
"Administration in mental health","Adm Ment Health"
"Administration in social work","Adm Soc Work"
"Administrative change","Adm Change"
"Administrative law journal","Adm Law J"
"Administrative law review","Adm Law Rev"
"Administrative management","Adm Manage"
"Administrative radiology : AR","Adm Radiol"
"Administrative radiology journal : AR","Adm Radiol J"
"Administrative science quarterly","Adm Sci Q"
"Adolescence","Adolescence"
"Adolescence education newsletter","Adolesc Educ Newsl"
"Adolescent and pediatric gynecology","Adolesc Pediatr Gynecol"
"Adolescent medicine (Philadelphia, Pa.)","Adolesc Med"
"Adolescent medicine clinics","Adolesc Med Clin"
"Adolescent psychiatry","Adolesc Psychiatry"
"Adult education","Adult Educ"
"Advance data","Adv Data"
"Advance for nurse practitioners","Adv Nurse Pract"
"Advanced drug delivery reviews","Adv Drug Deliv Rev"
"Advanced imaging (Woodbury, N.Y.)","Adv Imaging"
"Advanced materials (Deerfield Beach, Fla.)","Adv Mater Deerfield"
"Advanced practice nursing quarterly","Adv Pract Nurs Q"
"Advanced robotics : the international journal of the Robotics Society of Japan","Adv Robot"
"Advancement of science","Adv Sci"
"Advances and technical standards in neurosurgery","Adv Tech Stand Neurosurg"
"Advances in abortion care / IPAS","Adv Abort Care"
"Advances in adolescent mental health","Adv Adolesc Mental Health"
"Advances in alcohol & substance abuse","Adv Alcohol Subst Abuse"
"Advances in anatomic pathology","Adv Anat Pathol"
"Advances in anatomy, embryology, and cell biology","Adv Anat Embryol Cell Biol"
"Advances in applied microbiology","Adv Appl Microbiol"
"Advances in behavioral biology","Adv Behav Biol"
"Advances in biochemical engineering/biotechnology","Adv Biochem Eng Biotechnol"
"Advances in biochemical psychopharmacology","Adv Biochem Psychopharmacol"
"Advances in bioethics","Adv Bioeth"
"Advances in biological and medical physics","Adv Biol Med Phys"
"Advances in biology of skin","Adv Biol Skin"
"Advances in biomedical engineering and medical physics","Adv Biomed Eng Med Phys"
"Advances in biophysics","Adv Biophys"
"Advances in biotechnological processes","Adv Biotechnol Processes"
"Advances in botanical research","Adv Bot Res"
"Advances in cancer research","Adv Cancer Res"
"Advances in carbohydrate chemistry","Adv Carbohydr Chem"
"Advances in carbohydrate chemistry and biochemistry","Adv Carbohydr Chem Biochem"
"Advances in cardiac surgery","Adv Card Surg"
"Advances in cardiology","Adv Cardiol"
"Advances in cardiopulmonary diseases","Adv Cardiopulm Dis"
"Advances in cell biology","Adv Cell Biol"
"Advances in chemistry series","Adv Chem Ser"
"Advances in chemotherapy","Adv Chemother"
"Advances in child development and behavior","Adv Child Dev Behav"
"Advances in chromatography","Adv Chromatogr"
"Advances in chronic kidney disease","Adv Chronic Kidney Dis"
"Advances in clinical chemistry","Adv Clin Chem"
"Advances in clinical pathology : the official journal of Adriatic Society of Pathology","Adv Clin Path"
"Advances in clinical pharmacology","Adv Clin Pharmacol"
"Advances in clinical rehabilitation","Adv Clin Rehabil"
"Advances in colloid and interface science","Adv Colloid Interface Sci"
"Advances in comparative physiology and biochemistry","Adv Comp Physiol Biochem"
"Advances in consumer research. Association for Consumer Research (U.S.)","Adv Consum Res"
"Advances in contraception : the official journal of the Society for the Advancement of Contraception","Adv Contracept"
"Advances in contraceptive delivery systems : CDS","Adv Contracept Deliv Syst"
"Advances in cryogenic engineering","Adv Cryog Eng"
"Advances in cyclic nucleotide and protein phosphorylation research","Adv Cyclic Nucleotide Protein Phosphorylation Res"
"Advances in cyclic nucleotide research","Adv Cyclic Nucleotide Res"
"Advances in cytopharmacology","Adv Cytopharmacol"
"Advances in dental research","Adv Dent Res"
"Advances in dermatology","Adv Dermatol"
"Advances in drug research","Adv Drug Res"
"Advances in ecological research","Adv Ecol Rs"
"Advances in endocrinology and metabolism","Adv Endocrinol Metab"
"Advances in enzyme regulation","Adv Enzyme Regul"
"Advances in enzymology and related areas of molecular biology","Adv Enzymol Relat Areas Mol Biol"
"Advances in enzymology and related subjects of biochemistry","Adv Enzymol Relat Subj Biochem"
"Advances in experimental medicine and biology","Adv Exp Med Biol"
"Advances in fertility control","Adv Fertil Control"
"Advances in fluorine research and dental caries prevention","Adv Fluorine Res"
"Advances in food and nutrition research","Adv Food Nutr Res"
"Advances in food research","Adv Food Res"
"Advances in food research. Supplement","Adv Food Res Suppl"
"Advances in genetics","Adv Genet"
"Advances in gerontological research","Adv Gerontol Res"
"Advances in health economics and health services research","Adv Health Econ Health Serv Res"
"Advances in health economics and health services research. Supplement","Adv Health Econ Health Serv Res Suppl"
"Advances in health sciences education : theory and practice","Adv Health Sci Educ Theory Pract"
"Advances in heterocyclic chemistry","Adv Heterocycl Chem"
"Advances in human genetics","Adv Hum Genet"
"Advances in immunity and cancer therapy","Adv Immun Cancer Ther"
"Advances in immunology","Adv Immunol"
"Advances in inorganic biochemistry","Adv Inorg Biochem"
"Advances in internal medicine","Adv Intern Med"
"Advances in lipid research","Adv Lipid Res"
"Advances in marine biology","Adv Mar Biol"
"Advances in mass spectrometry","Adv Mass Spectrom"
"Advances in medical sciences","Adv Med Sci"
"Advances in medical sociology","Adv Med Sociol"
"Advances in metabolic disorders","Adv Metab Disord"
"Advances in microbial ecology","Adv Microb Ecol"
"Advances in microbial physiology","Adv Microb Physiol"
"Advances in mind-body medicine","Adv Mind Body Med"
"Advances in morphogenesis","Adv Morphog"
"Advances in myocardiology","Adv Myocardiol"
"Advances in myochemistry","Adv Myochem"
"Advances in neonatal care : official journal of the National Association of Neonatal Nurses","Adv Neonatal Care"
"Advances in nephrology from the Necker Hospital","Adv Nephrol Necker Hosp"
"Advances in neural information processing systems","Adv Neural Inf Process Syst"
"Advances in neuroimmunology","Adv Neuroimmunol"
"Advances in neurology","Adv Neurol"
